21,ISTROUMA / DIXIE,Chicken Shack,Fried Chicken Joint,Bellue's Fine Cajun Cuisine,Cajun / Creole Restaurant,Burger King,Fast Food Restaurant,Domino's Pizza,Pizza Place,Papa John's Pizza,Pizza Place
22,JEFFERSON / DRUSILLA,The Chimes East,Cajun / Creole Restaurant,Cracker Barrel Old Country Store,American Restaurant,Jimmy John's,Sandwich Place,BRQ Seafood and Barbecue,BBQ Joint,Chef Don Bergeron's City Market,Bistro
23,JEFFERSON / TIGER BEND,McDonald's,Fast Food Restaurant,Sonic Drive-In,Fast Food Restaurant,On The Half Shell,Seafood Restaurant,Chick-fil-A,Fast Food Restaurant,Frank's Restaurant,American Restaurant
24,JEFFERSON TERRACE / INNISWOLD,Chick-fil-A,Fast Food Restaurant,Sonic Drive-In,Fast Food Restaurant,Whataburger,Burger Joint,McDonald's,Fast Food Restaurant,Twin Peaks Restaurant,American Restaurant
25,JONES CREEK,Raising Cane's Chicken Fingers,Fried Chicken Joint,The Tiger Paw Daiquiris & Grill,Food,McDonald's,Fast Food Restaurant,The Chimes East,Cajun / Creole Restaurant,Sonic Drive-In,Fast Food Restaurant
26,KENILWORTH,Kenilworth,Restaurant,Johnny's Pizza,Pizza Place,Mary Lee Donuts,Bakery,Subway,Sandwich Place,Milanos Pizza,Pizza Place
27,KLEINPETER,Chick-fil-A,Fast Food Restaurant,Chick-fil-A,Fast Food Restaurant,Sonic Drive-In,Fast Food Restaurant,Whataburger,Burger Joint,Las Palmas,Mexican Restaurant
28,L S U,Sonic Drive-In,Fast Food Restaurant,Wienerschnitzel,Hot Dog Joint,Taco Bell,Fast Food Restaurant,The Chimes Restaurant,Cajun / Creole Restaurant,The Chinese Inn Restaurant,Chinese Restaurant
29,LEGION VILLAGE,Tony's Seafood Market & Deli,Seafood Restaurant,Krispy Kreme Doughnuts,Donut Shop,Piccadilly Cafeteria,American Restaurant,McDonald's,Fast Food Restaurant,Raising Cane's Chicken Fingers,Fried Chicken Joint
30,MAYFAIR,Sonic Drive-In,Fast Food Restaurant,McDonald's,Fast Food Restaurant,Bao Vietnamese Kitchen,Vietnamese Restaurant,Raising Cane's Chicken Fingers,Fried Chicken Joint,Burger King,Fast Food Restaurant
31,MID CITY,Chicken Shack,Fried Chicken Joint,Superior Grill,Mexican Restaurant,Popeyes Louisiana Kitchen,Fried Chicken Joint,Bennie's Bar and Lounge,Food,Sonic Drive-In,Fast Food Restaurant
32,MILLERVILLE,McDonald's,Fast Food Restaurant,Mary Lee Donuts,Donut Shop,Rice & Roux,Cajun / Creole Restaurant,Waffle House,Breakfast Spot,Discount Bakery Store,Bakery
33,MONTICELLO,Jerry Lee's Cajun Foods,Cajun / Creole Restaurant,Mary Lee Donuts,Donut Shop,Wendy’s,Fast Food Restaurant,Warehouse Restaurant,American Restaurant,Capital Wok,Chinese Restaurant
34,NORTH BATON ROUGE,Burger King,Fast Food Restaurant,Mr. Po-Boy,Sandwich Place,Atchafalaya Seafood & Bar-b-que,Seafood Restaurant,McDonald's,Fast Food Restaurant,Dixie Maid Drive-In,Burger Joint
35,NORTH SHERWOOD FOREST,Sonny's BBQ,BBQ Joint,Jack in the Box,Fast Food Restaurant,McDonald's,Fast Food Restaurant,Popeyes Louisiana Kitchen,Fried Chicken Joint,Greater Baton Rouge Food Bank,Food
36,OLD SOUTH BATON ROUGE,McDonald's,Fast Food Restaurant,Wienerschnitzel,Hot Dog Joint,Sonic Drive-In,Fast Food Restaurant,The Chinese Inn Restaurant,Chinese Restaurant,Louie's Cafe,Diner
37,O'NEAL,City Cafe,Seafood Restaurant,McDonald's,Fast Food Restaurant,Raising Cane's Chicken Fingers,Fried Chicken Joint,Sonic Drive-In,Fast Food Restaurant,Portobello's Grill,Italian Restaurant
38,PARK FOREST / OAKCREST,McDonald's,Fast Food Restaurant,Jack in the Box,Fast Food Restaurant,Taco Bell,Fast Food Restaurant,Domino's Pizza,Pizza Place,Popeyes Louisiana Kitchen,Fried Chicken Joint
39,PERKINS / HIGHLAND,Chick-fil-A,Fast Food Restaurant,Sonic Drive-In,Fast Food Restaurant,Topgolf,Restaurant,Twin Peaks Restaurant,American Restaurant,Texas Roadhouse,Steakhouse
40,POLLARD / WOODCHASE,Kenilworth,Restaurant,McDonald's,Fast Food Restaurant,Taco Bell,Fast Food Restaurant,Panda Express,Chinese Restaurant,Popeyes Louisiana Kitchen,Fried Chicken Joint
41,PORT HUDSON,Walk-On's Sports Bistreaux,Cajun / Creole Restaurant,Lit Pizza,Pizza Place,Sportsman's Seafood,Seafood Restaurant,Popeyes Louisiana Kitchen,Fried Chicken Joint,Cinco de Mayo,Mexican Restaurant
42,PRIDE / CHANEYVILLE,Duke's Seafood and Steak House,Seafood Restaurant,Linda's Chicken & Fish,American Restaurant,Zaxby's Chicken Fingers & Buffalo Wings,Fried Chicken Joint,Popeyes Louisiana Kitchen,Fried Chicken Joint,Papi's Fajita Factory,Mexican Restaurant
43,SCOTLANDVILLE,Triplet's Food Mart (Blue Store),Fried Chicken Joint,Sonic Drive-In,Fast Food Restaurant,Empire Wingz,Wings Joint,The Stock Yard Cafe,American Restaurant,Domino's Pizza,Pizza Place
44,SHENANDOAH,City Cafe,Seafood Restaurant,Raising Cane's Chicken Fingers,Fried Chicken Joint,Portobello's Grill,Italian Restaurant,Popeyes Louisiana Kitchen,Fried Chicken Joint,Outback Steakhouse,Steakhouse
45,SHERWOOD FOREST,Sonny's BBQ,BBQ Joint,Sonic Drive-In,Fast Food Restaurant,McDonald's,Fast Food Restaurant,Raul's Deli,Deli / Bodega,Jack in the Box,Fast Food Restaurant
46,SMILEY HEIGHTS / MELROSE EAST,The Honey Baked Ham Company,Deli / Bodega,Subway,Sandwich Place,Shanghai Place,Chinese Restaurant,Southern Belle Sandwhich Company,Sandwich Place,Donmoor Po-Boy,Sandwich Place
47,SOUTH BLUEBONNET / NICHOLSON,Chick-fil-A,Fast Food Restaurant,Whataburger,Burger Joint,Las Palmas,Mexican Restaurant,Sonic Drive-In,Fast Food Restaurant,Topgolf,Restaurant
48,SOUTH BURBANK,McDonald's,Fast Food Restaurant,Jack in the Box,Fast Food Restaurant,Rotolo's Craft & Crust,Pizza Place,Church's Chicken,Fried Chicken Joint,Superior Grill Highland,Tex-Mex Restaurant
49,SOUTH CAMPUS,Sonic Drive-In,Fast Food Restaurant,Albasha,Greek Restaurant,Mike Anderson's Seafood,Seafood Restaurant,Walk-On's Sports Bistreaux,Cajun / Creole Restaurant,American Market (Am Mart),Sandwich Place
50,SOUTHSIDE,Chick-fil-A,Fast Food Restaurant,Parrain's Seafood Restaurant,Seafood Restaurant,IHOP,Breakfast Spot,Taco Bell,Fast Food Restaurant,Sonic Drive-In,Fast Food Restaurant
51,STEVENDALE,Jack in the Box,Fast Food Restaurant,Chili's Grill & Bar,Tex-Mex Restaurant,McDonald's,Fast Food Restaurant,Mary Lee Donuts,Donut Shop,Waffle House,Breakfast Spot
52,TARA,Raising Cane's Chicken Fingers,Fried Chicken Joint,McDonald's,Fast Food Restaurant,Taco Bell,Fast Food Restaurant,Panera Bread,Bakery,Applebee's Grill + Bar,American Restaurant
53,THE AVENUES / SOUTHERN UNIV,Triplet's Food Mart (Blue Store),Fried Chicken Joint,Empire Wingz,Wings Joint,The Stock Yard Cafe,American Restaurant,McDonald's,Fast Food Restaurant,Chicken shack,Fried Chicken Joint
54,UNIVERSITY ACRES / WOODSTONE,Rotolo's Craft & Crust,Pizza Place,Kenilworth,Restaurant,Superior Grill Highland,Tex-Mex Restaurant,Atomic Burger,Burger Joint,Mr. Ronnie's Famous Hot Donuts,Bakery
55,VALLEY PARK,Chick-fil-A,Fast Food Restaurant,IHOP,Breakfast Spot,Waffle House,Breakfast Spot,Drago's Seafood Resturant,Seafood Restaurant,Taco Bell,Fast Food Restaurant
56,VICTORIA FARMS,Mr. Po-Boy,Sandwich Place,McDonald's,Fast Food Restaurant,Domino's Pizza,Pizza Place,KFC,Fried Chicken Joint,Taco Bell,Fast Food Restaurant
57,WESTMINSTER / PINE PARK,McDonald's,Fast Food Restaurant,McDonald's,Fast Food Restaurant,Jimmy John's,Sandwich Place,Copeland's Cheesecake Bistro,Cajun / Creole Restaurant,Piccadilly Cafeteria,American Restaurant
58,ZACHARY,Sonic Drive-In,Fast Food Restaurant,McDonald's,Fast Food Restaurant,Sidelines,American Restaurant,Cajun Catch,Restaurant,Raising Cane's Chicken Fingers,Fried Chicken Joint
