,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
25,KENILWORTH,Pizza Place,Bakery,Italian Restaurant,Sandwich Place,Restaurant,Cajun / Creole Restaurant,Food Court,Food,Fast Food Restaurant,Donut Shop
26,KLEINPETER,Fast Food Restaurant,Burger Joint,American Restaurant,BBQ Joint,Breakfast Spot,Fried Chicken Joint,Restaurant,Mexican Restaurant,Pizza Place,Sandwich Place
27,L S U,Burger Joint,Sandwich Place,Fast Food Restaurant,Pizza Place,Mexican Restaurant,Chinese Restaurant,Cajun / Creole Restaurant,Wings Joint,Sushi Restaurant,Asian Restaurant
28,LEGION VILLAGE,Fried Chicken Joint,Fast Food Restaurant,Seafood Restaurant,Food,Donut Shop,Burger Joint,American Restaurant,Brazilian Restaurant,Breakfast Spot,Food Truck
29,MAYFAIR,Fast Food Restaurant,Pizza Place,Sushi Restaurant,Seafood Restaurant,Sandwich Place,Fried Chicken Joint,Café,Burger Joint,Chinese Restaurant,Restaurant
30,MID CITY,Pizza Place,Fried Chicken Joint,Sandwich Place,BBQ Joint,Café,Chinese Restaurant,Fast Food Restaurant,Seafood Restaurant,Mexican Restaurant,Greek Restaurant
31,MILLERVILLE,Fast Food Restaurant,Chinese Restaurant,Mexican Restaurant,Greek Restaurant,Sandwich Place,Hot Dog Joint,Donut Shop,Cajun / Creole Restaurant,Burger Joint,Pizza Place
32,MONTICELLO,Fast Food Restaurant,American Restaurant,Chinese Restaurant,Food,Donut Shop,Cajun / Creole Restaurant,Bistro,Brazilian Restaurant,Food Truck,Food Stand
33,NORTH BATON ROUGE,Fast Food Restaurant,Seafood Restaurant,Sandwich Place,Fried Chicken Joint,Food,Donut Shop,Mediterranean Restaurant,Café,Burger Joint,Pizza Place
34,NORTH SHERWOOD FOREST,Vietnamese Restaurant,Fried Chicken Joint,Food,Fast Food Restaurant,Seafood Restaurant,Italian Restaurant,Mexican Restaurant,Chinese Restaurant,Burger Joint,American Restaurant
35,O'NEAL,Pizza Place,Fast Food Restaurant,Cajun / Creole Restaurant,Fried Chicken Joint,Seafood Restaurant,Sandwich Place,Burger Joint,Italian Restaurant,Chinese Restaurant,Mexican Restaurant
36,OLD SOUTH BATON ROUGE,American Restaurant,Sushi Restaurant,Fast Food Restaurant,Seafood Restaurant,Pizza Place,BBQ Joint,Chinese Restaurant,Diner,Donut Shop,Food
37,PARK FOREST / OAKCREST,Fast Food Restaurant,Pizza Place,Fried Chicken Joint,Chinese Restaurant,Sandwich Place,Seafood Restaurant,Café,Food,Diner,Cajun / Creole Restaurant
38,PERKINS / HIGHLAND,Fast Food Restaurant,Sandwich Place,American Restaurant,Café,Chinese Restaurant,Mexican Restaurant,Seafood Restaurant,Breakfast Spot,Bistro,Bakery
39,POLLARD / WOODCHASE,Fast Food Restaurant,American Restaurant,Pizza Place,Thai Restaurant,Sushi Restaurant,Chinese Restaurant,Seafood Restaurant,Sandwich Place,Food Truck,BBQ Joint
40,PORT HUDSON,Pizza Place,Food,Mexican Restaurant,Cajun / Creole Restaurant,Southern / Soul Food Restaurant,Food Truck,Seafood Restaurant,Fried Chicken Joint,Brazilian Restaurant,Chinese Restaurant
41,PRIDE / CHANEYVILLE,American Restaurant,Sandwich Place,Fried Chicken Joint,Pizza Place,Food,Seafood Restaurant,Mexican Restaurant,Caribbean Restaurant,Food Stand,Food Court
42,SCOTLANDVILLE,Fast Food Restaurant,Fried Chicken Joint,Sandwich Place,American Restaurant,BBQ Joint,Breakfast Spot,Deli / Bodega,Pizza Place,Restaurant,Wings Joint
43,SHENANDOAH,Fried Chicken Joint,Italian Restaurant,Cajun / Creole Restaurant,Pizza Place,Seafood Restaurant,Greek Restaurant,Burger Joint,Indian Restaurant,Japanese Restaurant,Mexican Restaurant
44,SHERWOOD FOREST,Fast Food Restaurant,Food,Vietnamese Restaurant,Mexican Restaurant,Chinese Restaurant,Pizza Place,Fried Chicken Joint,Sandwich Place,Deli / Bodega,Italian Restaurant
45,SMILEY HEIGHTS / MELROSE EAST,Sandwich Place,American Restaurant,Fast Food Restaurant,Deli / Bodega,Chinese Restaurant,Cajun / Creole Restaurant,Food Truck,Food Stand,Food Court,Food
46,SOUTH BLUEBONNET / NICHOLSON,American Restaurant,Fried Chicken Joint,Fast Food Restaurant,Italian Restaurant,BBQ Joint,Mexican Restaurant,Restaurant,Burger Joint,Pizza Place,Cajun / Creole Restaurant
47,SOUTH BURBANK,Fast Food Restaurant,Pizza Place,Chinese Restaurant,Café,Sandwich Place,Burger Joint,Buffet,Wings Joint,Restaurant,Fried Chicken Joint
48,SOUTH CAMPUS,Pizza Place,Sandwich Place,Sushi Restaurant,Seafood Restaurant,Chinese Restaurant,Wings Joint,Bistro,Breakfast Spot,Burger Joint,Burrito Place
49,SOUTHSIDE,Sandwich Place,Italian Restaurant,American Restaurant,Seafood Restaurant,Fast Food Restaurant,Café,Burger Joint,Mexican Restaurant,Pizza Place,Breakfast Spot
50,STEVENDALE,Fast Food Restaurant,Chinese Restaurant,Mexican Restaurant,Pizza Place,Sandwich Place,Donut Shop,Hot Dog Joint,Italian Restaurant,Burger Joint,Greek Restaurant
51,TARA,Fast Food Restaurant,Cajun / Creole Restaurant,Pizza Place,Bakery,Mexican Restaurant,Burger Joint,Restaurant,Greek Restaurant,Cafeteria,Café
52,THE AVENUES / SOUTHERN UNIV,Fried Chicken Joint,American Restaurant,Fast Food Restaurant,Sandwich Place,Deli / Bodega,Restaurant,Wings Joint,Southern / Soul Food Restaurant,Café,Food
53,UNIVERSITY ACRES / WOODSTONE,Pizza Place,Restaurant,Thai Restaurant,Tex-Mex Restaurant,Café,Bagel Shop,Bakery,Caribbean Restaurant,Italian Restaurant,Burger Joint
54,VALLEY PARK,American Restaurant,Fast Food Restaurant,Mexican Restaurant,Steakhouse,Sandwich Place,Japanese Restaurant,Pizza Place,Salad Place,Seafood Restaurant,Chinese Restaurant
55,VICTORIA FARMS,Fast Food Restaurant,Sandwich Place,Pizza Place,Café,Food,Donut Shop,Fried Chicken Joint,Cajun / Creole Restaurant,Food Stand,Food Court
56,WESTMINSTER / PINE PARK,Sandwich Place,American Restaurant,Fast Food Restaurant,Sushi Restaurant,Seafood Restaurant,Restaurant,Greek Restaurant,Asian Restaurant,Japanese Restaurant,Wings Joint
57,ZACHARY,Fast Food Restaurant,Fried Chicken Joint,Pizza Place,American Restaurant,Mexican Restaurant,Restaurant,Asian Restaurant,Café,Food,Mediterranean Restaurant
