41,PORT HUDSON,Pizza Place,Food,Mexican Restaurant,Cajun / Creole Restaurant,Southern / Soul Food Restaurant,Food Truck,Seafood Restaurant,Fried Chicken Joint,Brazilian Restaurant,Chinese Restaurant
42,PRIDE / CHANEYVILLE,American Restaurant,Sandwich Place,Fried Chicken Joint,Pizza Place,Food,Seafood Restaurant,Mexican Restaurant,Caribbean Restaurant,Food Stand,Food Court
43,SCOTLANDVILLE,Fast Food Restaurant,Fried Chicken Joint,Sandwich Place,American Restaurant,BBQ Joint,Breakfast Spot,Deli / Bodega,Pizza Place,Restaurant,Wings Joint
44,SHENANDOAH,Fried Chicken Joint,Italian Restaurant,Cajun / Creole Restaurant,Pizza Place,Seafood Restaurant,Greek Restaurant,Burger Joint,Indian Restaurant,Japanese Restaurant,Mexican Restaurant
45,SHERWOOD FOREST,Fast Food Restaurant,Food,Vietnamese Restaurant,Mexican Restaurant,Chinese Restaurant,Pizza Place,Fried Chicken Joint,Sandwich Place,Deli / Bodega,Italian Restaurant
46,SMILEY HEIGHTS / MELROSE EAST,Sandwich Place,American Restaurant,Fast Food Restaurant,Deli / Bodega,Chinese Restaurant,Cajun / Creole Restaurant,Food Truck,Food Stand,Food Court,Food
47,SOUTH BLUEBONNET / NICHOLSON,American Restaurant,Fried Chicken Joint,Fast Food Restaurant,Italian Restaurant,BBQ Joint,Mexican Restaurant,Restaurant,Burger Joint,Pizza Place,Cajun / Creole Restaurant
48,SOUTH BURBANK,Fast Food Restaurant,Pizza Place,Chinese Restaurant,Café,Sandwich Place,Burger Joint,Buffet,Wings Joint,Restaurant,Fried Chicken Joint
49,SOUTH CAMPUS,Pizza Place,Sandwich Place,Sushi Restaurant,Seafood Restaurant,Chinese Restaurant,Wings Joint,Bistro,Breakfast Spot,Burger Joint,Burrito Place
50,SOUTHSIDE,Sandwich Place,Italian Restaurant,American Restaurant,Seafood Restaurant,Fast Food Restaurant,Café,Burger Joint,Mexican Restaurant,Pizza Place,Breakfast Spot
51,STEVENDALE,Fast Food Restaurant,Chinese Restaurant,Mexican Restaurant,Pizza Place,Sandwich Place,Donut Shop,Hot Dog Joint,Italian Restaurant,Burger Joint,Greek Restaurant
52,TARA,Fast Food Restaurant,Cajun / Creole Restaurant,Pizza Place,Bakery,Mexican Restaurant,Burger Joint,Restaurant,Greek Restaurant,Cafeteria,Café
53,THE AVENUES / SOUTHERN UNIV,Fried Chicken Joint,American Restaurant,Fast Food Restaurant,Sandwich Place,Deli / Bodega,Restaurant,Wings Joint,Southern / Soul Food Restaurant,Café,Food
54,UNIVERSITY ACRES / WOODSTONE,Pizza Place,Restaurant,Thai Restaurant,Tex-Mex Restaurant,Café,Bagel Shop,Bakery,Caribbean Restaurant,Italian Restaurant,Burger Joint
55,VALLEY PARK,American Restaurant,Fast Food Restaurant,Mexican Restaurant,Steakhouse,Sandwich Place,Japanese Restaurant,Pizza Place,Salad Place,Seafood Restaurant,Chinese Restaurant
56,VICTORIA FARMS,Fast Food Restaurant,Sandwich Place,Pizza Place,Café,Food,Donut Shop,Fried Chicken Joint,Cajun / Creole Restaurant,Food Stand,Food Court
57,WESTMINSTER / PINE PARK,Sandwich Place,American Restaurant,Fast Food Restaurant,Sushi Restaurant,Seafood Restaurant,Restaurant,Greek Restaurant,Asian Restaurant,Japanese Restaurant,Wings Joint
58,ZACHARY,Fast Food Restaurant,Fried Chicken Joint,Pizza Place,American Restaurant,Mexican Restaurant,Restaurant,Asian Restaurant,Café,Food,Mediterranean Restaurant
